"contrast","cohort","outcome","estimand","estimator","cr_est","cr_ci_lo","cr_ci_hi","cr_n","main_est","main_ci_lo","main_ci_hi","main_se","main_n","abs_diff","verdict","reason"
"C1","known transport (8,323)","death_by_6mo","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-0.005,-0.0231,0.0149,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","death_by_6mo","trimmed ATE (g in [0.05, 0.95])","TMLE, IPCW via Delta",NA,NA,NA,NA,0.0046,-0.0084,0.0175,0.0066,3833,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","death_in_hospital","ATE","TMLE, complete case",NA,NA,NA,NA,-0.0027,-0.0064,9e-04,0.0019,8301,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","death_in_hospital","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-0.0014,-0.0068,0.0048,0.003,8301,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","death_in_hospital","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,-0.0023,-0.0101,0.0055,0.004,8301,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","death_in_hospital","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-0.003,-0.011,0.005,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","death_in_hospital","trimmed ATE (g in [0.05, 0.95])","TMLE, complete case",NA,NA,NA,NA,4e-04,-0.0043,0.005,0.0024,4869,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","gose","ATE","TMLE, IPCW via Delta",NA,NA,NA,NA,-0.0524,-0.2377,0.133,0.0946,6538,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","gose","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-0.1448,-0.2808,0.0193,0.0799,6538,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","gose","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,-0.0893,-0.2358,0.0573,0.0748,6538,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","gose","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-0.2383,-0.435,-0.0317,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","gose","trimmed ATE (g in [0.05, 0.95])","TMLE, IPCW via Delta",NA,NA,NA,NA,-0.1809,-0.3237,-0.0381,0.0729,3822,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","gose_favorable","ATE","TMLE, IPCW via Delta",NA,NA,NA,NA,-0.0032,-0.0318,0.0255,0.0146,6538,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","gose_favorable","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-0.0201,-0.0477,0.0084,0.0146,6538,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","gose_favorable","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,-0.0128,-0.0391,0.0134,0.0134,6538,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","gose_favorable","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-0.0267,-0.0633,0.0067,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","gose_favorable","trimmed ATE (g in [0.05, 0.95])","TMLE, IPCW via Delta",NA,NA,NA,NA,-0.0331,-0.0603,-0.0058,0.0139,3822,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","severe_disability","ATE","TMLE, IPCW via Delta",NA,NA,NA,NA,0.0022,-0.0275,0.0319,0.0152,6538,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","severe_disability","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,0.0201,-0.0067,0.0475,0.0139,6538,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","severe_disability","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,0.0128,-0.0134,0.039,0.0134,6538,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","severe_disability","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,0.0267,-0.0083,0.06,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","severe_disability","trimmed ATE (g in [0.05, 0.95])","TMLE, IPCW via Delta",NA,NA,NA,NA,0.0327,0.0053,0.0601,0.014,3822,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","time_arrival_to_intervention","ATE","TMLE, complete case",NA,NA,NA,NA,-1.9458,-29.2856,25.394,13.9489,6309,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","time_arrival_to_intervention","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-0.2367,-23.8642,22.9547,12.2083,6309,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","time_arrival_to_intervention","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,4.533,-17.4966,26.5626,11.2396,6309,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","time_arrival_to_intervention","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-54.589,-216.2899,32.5429,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","time_arrival_to_intervention","trimmed ATE (g in [0.05, 0.95])","TMLE, complete case",NA,NA,NA,NA,-14.434,-45.431,16.5629,15.8148,3723,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","time_to_arrival","ATE","TMLE, complete case",NA,NA,NA,NA,14636.9307,11594.3039,17679.5576,1552.3606,8162,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","time_to_arrival","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-221.3322,-273.5882,-151.0253,30.8155,8162,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","time_to_arrival","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,-215.2237,-265.2989,-165.1485,25.5486,8162,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","time_to_arrival","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-145.3239,-200.7909,-84.1915,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","time_to_arrival","trimmed ATE (g in [0.05, 0.95])","TMLE, complete case",NA,NA,NA,NA,-275.2218,-319.562,-230.8816,22.6225,4809,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","time_to_def_intervention","ATE","TMLE, complete case",NA,NA,NA,NA,-181.3381,-410.6911,48.015,117.0169,6371,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","time_to_def_intervention","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-195.9637,-255.315,-123.2391,34.3023,6371,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","time_to_def_intervention","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,-211.6807,-271.1234,-152.238,30.3279,6371,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","time_to_def_intervention","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-181.8238,-384.1032,-52.7138,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","time_to_def_intervention","trimmed ATE (g in [0.05, 0.95])","TMLE, complete case",NA,NA,NA,NA,-254.6055,-313.3941,-195.817,29.9942,3760,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","transferred_out","ATE","TMLE, complete case",NA,NA,NA,NA,0.0091,-0.0092,0.0274,0.0093,8301,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","transferred_out","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,0.0123,-0.0034,0.0294,0.0085,8301,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","transferred_out","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,0.0129,-0.0041,0.0299,0.0087,8301,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","transferred_out","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,0.011,-0.008,0.032,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","transferred_out","trimmed ATE (g in [0.05, 0.95])","TMLE, complete case",NA,NA,NA,NA,0.015,-0.001,0.0311,0.0082,4869,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","transferred_out_higher_care","ATE","TMLE, complete case",NA,NA,NA,NA,0.0082,-0.0097,0.0261,0.0091,8301,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","transferred_out_higher_care","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,0.0088,-0.0047,0.0244,0.0076,8301,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","transferred_out_higher_care","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,0.0086,-0.0067,0.0238,0.0078,8301,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","transferred_out_higher_care","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,0.008,-0.01,0.024,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C1","known transport (8,323)","transferred_out_higher_care","trimmed ATE (g in [0.05, 0.95])","TMLE, complete case",NA,NA,NA,NA,0.0114,-0.003,0.0259,0.0074,4869,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","death_by_6mo","ATE","TMLE, IPCW via Delta",NA,NA,NA,NA,0.0148,-0.0087,0.0383,0.012,5641,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","death_by_6mo","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,0.0047,-0.0084,0.0181,0.0071,5641,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","death_by_6mo","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,-2e-04,-0.0146,0.0142,0.0073,5641,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","death_by_6mo","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,0.0035,-0.0139,0.0209,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","death_by_6mo","trimmed ATE (g in [0.05, 0.95])","TMLE, IPCW via Delta",NA,NA,NA,NA,6e-04,-0.0115,0.0128,0.0062,3396,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","death_in_hospital","ATE","TMLE, complete case",NA,NA,NA,NA,8e-04,-0.0016,0.0032,0.0012,7146,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","death_in_hospital","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,0.0017,-0.0027,0.0062,0.0023,7146,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","death_in_hospital","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,0.0038,-0.0022,0.0098,0.0031,7146,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","death_in_hospital","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,0.002,-0.0041,0.0082,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","death_in_hospital","trimmed ATE (g in [0.05, 0.95])","TMLE, complete case",NA,NA,NA,NA,0.0016,-0.0019,0.0052,0.0018,4327,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","gose","ATE","TMLE, IPCW via Delta",NA,NA,NA,NA,-0.1463,-0.3083,0.0158,0.0827,5620,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","gose","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-0.2109,-0.3786,-0.0485,0.0837,5620,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","gose","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,-0.1511,-0.3078,0.0056,0.08,5620,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","gose","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-0.2105,-0.4035,0.021,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","gose","trimmed ATE (g in [0.05, 0.95])","TMLE, IPCW via Delta",NA,NA,NA,NA,-0.1681,-0.3151,-0.0212,0.075,3386,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","gose_favorable","ATE","TMLE, IPCW via Delta",NA,NA,NA,NA,-0.0177,-0.0427,0.0073,0.0128,5620,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","gose_favorable","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-0.026,-0.0532,0.0013,0.0141,5620,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","gose_favorable","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,-0.0176,-0.0452,0.01,0.0141,5620,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","gose_favorable","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-0.0298,-0.0667,0.007,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","gose_favorable","trimmed ATE (g in [0.05, 0.95])","TMLE, IPCW via Delta",NA,NA,NA,NA,-0.0245,-0.0523,0.0032,0.0142,3386,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","severe_disability","ATE","TMLE, IPCW via Delta",NA,NA,NA,NA,0.0179,-0.0072,0.0429,0.0128,5620,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","severe_disability","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,0.026,0,0.054,0.0143,5620,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","severe_disability","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,0.0175,-0.0101,0.0452,0.0141,5620,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","severe_disability","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,0.0298,-0.0088,0.0667,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","severe_disability","trimmed ATE (g in [0.05, 0.95])","TMLE, IPCW via Delta",NA,NA,NA,NA,0.0246,-0.0032,0.0524,0.0142,3386,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","time_arrival_to_intervention","ATE","TMLE, complete case",NA,NA,NA,NA,-0.5342,-31.0022,29.9337,15.5449,5417,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","time_arrival_to_intervention","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-15.836,-67.1014,21.2223,22.722,5417,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","time_arrival_to_intervention","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,3.8017,-19.4276,27.031,11.8517,5417,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","time_arrival_to_intervention","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-69.5444,-214.3527,18.3106,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","time_arrival_to_intervention","trimmed ATE (g in [0.05, 0.95])","TMLE, complete case",NA,NA,NA,NA,-20.3639,-54.181,13.4532,17.2536,3293,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","time_to_arrival","ATE","TMLE, complete case",NA,NA,NA,NA,-210.8024,-406.2411,-15.3637,99.7136,7028,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","time_to_arrival","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-264.5396,-330.9665,-192.8728,35.0687,7028,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","time_to_arrival","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,-294.4403,-370.4377,-218.4428,38.7742,7028,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","time_to_arrival","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-150.2164,-207.7157,-84.658,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","time_to_arrival","trimmed ATE (g in [0.05, 0.95])","TMLE, complete case",NA,NA,NA,NA,-291.4173,-366.0142,-216.8204,38.0597,4277,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","time_to_def_intervention","ATE","TMLE, complete case",NA,NA,NA,NA,-176.1066,-453.4906,101.2774,141.5224,5450,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","time_to_def_intervention","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-265.5595,-350.6971,-173.4846,44.6929,5450,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","time_to_def_intervention","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,-240.6104,-312.4983,-168.7225,36.6775,5450,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","time_to_def_intervention","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-201.5832,-379.0431,-72.5665,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","time_to_def_intervention","trimmed ATE (g in [0.05, 0.95])","TMLE, complete case",NA,NA,NA,NA,-327.0971,-397.5055,-256.6887,35.9227,3320,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","transferred_out","ATE","TMLE, complete case",NA,NA,NA,NA,0.0136,-0.0067,0.0339,0.0104,7146,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","transferred_out","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,0.015,-0.0014,0.0328,0.0086,7146,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","transferred_out","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,0.0105,-0.0091,0.0302,0.01,7146,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","transferred_out","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,0.0113,-0.0102,0.0307,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","transferred_out","trimmed ATE (g in [0.05, 0.95])","TMLE, complete case",NA,NA,NA,NA,0.0133,-0.0029,0.0295,0.0083,4327,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","transferred_out_higher_care","ATE","TMLE, complete case",NA,NA,NA,NA,0.012,-0.0056,0.0295,0.0089,7146,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","transferred_out_higher_care","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,0.0102,-0.0056,0.0257,0.0081,7146,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","transferred_out_higher_care","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,0.0068,-0.0113,0.0248,0.0092,7146,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","transferred_out_higher_care","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,0.0051,-0.0133,0.0225,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C2","Rescue.Co + non-ambulance (7,165)","transferred_out_higher_care","trimmed ATE (g in [0.05, 0.95])","TMLE, complete case",NA,NA,NA,NA,0.0103,-0.0037,0.0242,0.0071,4327,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","death_by_6mo","ATE","TMLE, IPCW via Delta",NA,NA,NA,NA,0.0167,0.0067,0.0268,0.0051,6566,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","death_by_6mo","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,0.0189,0.008,0.0306,0.0058,6566,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","death_by_6mo","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,0.0204,0.0071,0.0336,0.0067,6566,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","death_by_6mo","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,0.0269,0.0138,0.0423,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","death_by_6mo","trimmed ATE (g in [0.05, 0.95])","TMLE, IPCW via Delta",NA,NA,NA,NA,0.0191,0.0086,0.0296,0.0053,6330,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","death_in_hospital","ATE","TMLE, complete case",NA,NA,NA,NA,0.007,0.0031,0.0109,0.002,8301,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","death_in_hospital","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,0.0073,0.0033,0.0116,0.0021,8301,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","death_in_hospital","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,0.0115,0.0058,0.0171,0.0029,8301,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","death_in_hospital","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,0.0082,0.0034,0.0135,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","death_in_hospital","trimmed ATE (g in [0.05, 0.95])","TMLE, complete case",NA,NA,NA,NA,0.0063,0.0023,0.0103,0.002,7988,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","gose","ATE","TMLE, IPCW via Delta",NA,NA,NA,NA,-0.3149,-0.4254,-0.2044,0.0564,6538,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"C3","known transport (8,323)","gose","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-0.3109,-0.4223,-0.1946,0.0594,6538,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
